Casa;Fora;PlacarCasa;PlacarFora;PartidasCasa;PartidasFora;PartidasEmCasa;PartidasEmFora;TotalCasa;TotalProCasa;TotalContraCasa;TotalEmCasa;TotalProEmCasa;TotalContraEmCasa;TotalFora;TotalProFora;TotalContraFora;TotalEmFora;TotalProEmFora;TotalContraEmFora;Total15Casa;Total15EmCasa;Total25Casa;Total25EmCasa;Total15Fora;Total15EmFora;Total25Fora;Total25EmFora;
Ituano;Criciuma;1;2;14;15;6;7;29;15;14;10;6;4;30;16;14;19;9;10;15;15;3;3;17;0;4;0
Nautico;Novorizontino;3;1;15;15;8;7;31;13;18;17;8;9;30;14;16;14;5;9;16;16;7;7;13;0;4;0
CRB;Guarani;1;1;15;15;8;7;28;11;17;12;7;5;27;9;18;16;4;12;14;14;5;5;14;0;8;0
Ponte Preta;Tombense;0;0;15;15;7;7;23;9;14;7;4;3;30;16;14;16;5;11;16;16;5;5;14;0;5;0
Bahia;Gremio;0;0;15;15;8;8;25;17;8;16;12;4;18;13;5;9;5;4;17;17;3;3;12;0;1;0
Vasco da Gama;Sport Recife;0;0;15;15;8;8;23;16;7;11;10;1;18;10;8;12;6;6;14;14;9;9;13;0;9;0
Chapecoense;Londrina;0;3;15;15;7;6;27;14;13;17;7;10;32;15;17;10;7;3;19;19;13;13;12;0;7;0
Ituano;Cruzeiro;1;1;15;15;7;7;32;16;16;13;7;6;26;20;6;19;9;10;16;16;4;4;13;0;8;0
Operario PR;CRB;2;3;16;16;7;7;34;16;18;17;10;7;30;12;18;17;6;11;18;18;11;11;15;0;5;0
Novorizontino;Brusque;1;0;16;16;8;8;34;15;19;19;9;10;27;12;15;15;6;9;18;18;9;9;17;0;5;0
CSA;Ponte Preta;0;1;16;16;7;8;22;9;13;12;7;5;23;9;14;10;2;8;13;13;3;3;16;0;5;0
Vila Nova;Bahia;1;1;16;16;8;7;26;9;17;8;4;4;25;17;8;18;5;13;14;14;2;2;17;0;3;0
Gremio;Nautico;2;0;16;16;7;7;18;13;5;12;10;2;35;16;19;6;3;3;12;12;1;1;17;0;8;0
Guarani;Cruzeiro;1;0;16;16;8;8;29;10;19;8;2;6;28;21;7;21;8;13;16;16;8;8;18;0;8;0
Sport Recife;Londrina;2;0;16;16;7;7;18;10;8;8;6;2;35;18;17;10;4;6;13;13;9;9;21;0;15;0
Criciuma;Vasco da Gama;0;1;16;16;8;7;33;18;15;15;10;5;23;16;7;18;8;10;17;17;5;5;14;0;9;0
Tombense;Chapecoense;2;1;16;16;8;8;30;16;14;17;10;7;30;14;16;13;6;7;14;14;5;5;20;0;14;0
Sampaio Correa;Ituano;2;0;16;16;7;8;34;16;18;17;13;4;34;17;17;17;3;14;20;20;14;14;17;0;4;0
Operario PR;Sport Recife;0;0;17;17;8;9;39;18;21;22;12;10;20;12;8;17;6;11;19;19;12;12;14;0;9;0
Criciuma;Ponte Preta;1;1;17;17;9;9;34;18;16;16;10;6;24;10;14;18;8;10;17;17;5;5;16;0;5;0
Vila Nova;CSA;1;2;17;17;9;9;28;10;18;10;5;5;23;9;14;18;5;13;15;15;2;2;13;0;3;0
Ituano;Londrina;0;0;17;17;8;8;36;17;19;15;8;7;37;18;19;21;9;12;22;22;4;4;15;0;15;0
CRB;Brusque;1;1;17;17;9;9;35;15;20;14;8;6;28;12;16;21;7;14;20;20;13;13;17;0;5;0
Gremio;Tombense;3;0;17;17;8;8;20;15;5;14;12;2;33;18;15;6;3;3;13;13;1;1;15;0;6;0
Sampaio Correa;Vasco da Gama;3;1;17;17;8;8;36;18;18;19;15;4;24;17;7;17;3;14;21;21;14;14;14;0;9;0
Guarani;Bahia;0;2;17;17;9;8;30;11;19;9;3;6;27;18;9;21;8;13;16;16;8;8;16;0;3;0
Cruzeiro;Novorizontino;2;1;17;17;8;8;29;21;8;14;13;1;35;16;19;15;8;7;18;18;8;8;18;0;9;0
Nautico;Chapecoense;1;2;17;17;9;9;37;16;21;21;11;10;33;15;18;16;5;11;14;14;8;8;16;0;7;0
Sport Recife;Vila Nova;0;0;18;18;8;8;20;12;8;10;8;2;31;11;20;10;4;6;14;14;9;9;16;0;3;0
Bahia;CRB;1;1;18;18;9;8;29;20;9;16;12;4;37;16;21;13;8;5;18;18;3;3;21;0;13;0
Brusque;Gremio;1;1;18;18;8;9;30;13;17;12;7;5;23;18;5;18;6;12;22;22;5;5;14;0;2;0
Londrina;Sampaio Correa;1;0;18;18;9;9;37;18;19;21;13;8;40;21;19;16;5;11;15;15;15;15;22;0;15;0
Tombense;Criciuma;1;0;18;18;9;8;36;18;18;20;12;8;36;19;17;16;6;10;15;15;3;3;18;0;5;0
Vasco da Gama;Ituano;1;1;18;18;9;9;28;18;10;11;10;1;36;17;19;17;8;9;23;23;16;16;22;0;4;0
Chapecoense;Guarani;0;0;18;18;8;8;36;17;19;20;7;13;32;11;21;16;10;6;16;16;10;10;17;0;8;0
CSA;Cruzeiro;1;1;18;18;8;9;26;11;15;13;7;6;32;23;9;13;4;9;17;17;4;4;19;0;9;0
Ponte Preta;Nautico;1;0;18;18;8;8;26;11;15;7;4;3;40;17;23;19;7;12;19;19;5;5;15;0;9;0
Novorizontino;Operario PR;2;1;18;18;9;9;38;17;21;20;10;10;39;18;21;18;7;11;20;20;10;10;19;0;12;0
Sampaio Correa;Sport Recife;4;1;19;19;9;10;41;21;20;23;18;5;20;12;8;18;3;15;22;22;15;15;14;0;9;0
Cruzeiro;Bahia;1;0;19;19;9;9;34;24;10;17;15;2;31;21;10;17;9;8;19;19;9;9;19;0;3;0
Gremio;Ponte Preta;2;1;19;19;9;10;25;19;6;17;15;2;27;12;15;8;4;4;24;24;2;2;19;0;5;0
Vila Nova;Vasco da Gama;1;0;19;19;10;9;31;11;20;13;6;7;30;19;11;18;5;13;16;16;3;3;24;0;16;0
Nautico;Londrina;1;2;19;19;10;9;41;17;24;24;12;12;38;19;19;17;5;12;15;15;9;9;15;0;15;0
Ituano;Chapecoense;1;0;19;19;9;10;38;18;20;15;8;7;36;17;19;23;10;13;25;25;4;4;16;0;10;0
CRB;Novorizontino;2;1;19;19;10;9;39;17;22;16;9;7;41;19;22;23;8;15;20;20;13;13;21;0;11;0
Guarani;Brusque;1;1;19;19;10;10;32;11;21;11;3;8;32;14;18;21;8;13;17;17;8;8;23;0;5;0
Criciuma;CSA;2;1;19;19;10;10;37;19;18;18;11;7;28;12;16;19;8;11;18;18;5;5;18;0;4;0
Operario PR;Tombense;0;0;19;19;9;9;42;19;23;22;12;10;37;19;18;20;7;13;22;22;12;12;15;0;3;0
